2024-04-23 13:59:19 status unpacked libaudit-common:all 1:3.1.2-2.1build1
2024-04-23 13:59:19 status half-configured libaudit-common:all 1:3.1.2-2.1build1
2024-04-23 13:59:19 status installed libaudit-common:all 1:3.1.2-2.1build1
2024-04-23 13:59:19 configure libsemanage-common:all 3.5-1build5 <none>
2024-04-23 13:59:19 status unpacked libsemanage-common:all 3.5-1build5
2024-04-23 13:59:19 status half-configured libsemanage-common:all 3.5-1build5
2024-04-23 13:59:19 status installed libsemanage-common:all 3.5-1build5
2024-04-23 13:59:19 configure debconf:all 1.5.86ubuntu1 <none>
2024-04-23 13:59:19 status unpacked debconf:all 1.5.86ubuntu1
2024-04-23 13:59:19 status half-configured debconf:all 1.5.86ubuntu1
2024-04-23 13:59:19 status installed debconf:all 1.5.86ubuntu1
2024-04-23 13:59:19 configure ncurses-base:all 6.4+20240113-1ubuntu2 <none>
2024-04-23 13:59:19 status unpacked ncurses-base:all 6.4+20240113-1ubuntu2
2024-04-23 13:59:19 status half-configured ncurses-base:all 6.4+20240113-1ubuntu2
2024-04-23 13:59:19 status installed ncurses-base:all 6.4+20240113-1ubuntu2
2024-04-23 13:59:19 configure init-system-helpers:all 1.66ubuntu1 <none>
2024-04-23 13:59:19 status unpacked init-system-helpers:all 1.66ubuntu1
2024-04-23 13:59:19 status half-configured init-system-helpers:all 1.66ubuntu1
2024-04-23 13:59:19 status installed init-system-helpers:all 1.66ubuntu1
2024-04-23 13:59:19 configure sensible-utils:all 0.0.22 <none>
2024-04-23 13:59:19 status unpacked sensible-utils:all 0.0.22
2024-04-23 13:59:19 status half-configured sensible-utils:all 0.0.22
2024-04-23 13:59:19 status installed sensible-utils:all 0.0.22
2024-04-23 13:59:19 configure libgcc-s1:arm64 14-20240412-0ubuntu1 <none>
2024-04-23 13:59:19 status unpacked libgcc-s1:arm64 14-20240412-0ubuntu1
2024-04-23 13:59:19 status half-configured libgcc-s1:arm64 14-20240412-0ubuntu1
2024-04-23 13:59:19 status installed libgcc-s1:arm64 14-20240412-0ubuntu1
2024-04-23 13:59:19 configure libc6:arm64 2.39-0ubuntu8 <none>
2024-04-23 13:59:19 status unpacked libc6:arm64 2.39-0ubuntu8
2024-04-23 13:59:19 status half-configured libc6:arm64 2.39-0ubuntu8
2024-04-23 13:59:19 status installed libc6:arm64 2.39-0ubuntu8
2024-04-23 13:59:19 configure libmd0:arm64 1.1.0-2build1 <none>
2024-04-23 13:59:19 status unpacked libmd0:arm64 1.1.0-2build1
2024-04-23 13:59:19 status half-configured libmd0:arm64 1.1.0-2build1
2024-04-23 13:59:19 status installed libmd0:arm64 1.1.0-2build1
2024-04-23 13:59:19 configure libattr1:arm64 1:2.5.2-1build1 <none>
2024-04-23 13:59:19 status unpacked libattr1:arm64 1:2.5.2-1build1
2024-04-23 13:59:19 status half-configured libattr1:arm64 1:2.5.2-1build1
2024-04-23 13:59:19 status installed libattr1:arm64 1:2.5.2-1build1
2024-04-23 13:59:19 configure sysvinit-utils:arm64 3.08-6ubuntu3 <none>
2024-04-23 13:59:19 status unpacked sysvinit-utils:arm64 3.08-6ubuntu3
2024-04-23 13:59:19 status half-configured sysvinit-utils:arm64 3.08-6ubuntu3
2024-04-23 13:59:19 status installed sysvinit-utils:arm64 3.08-6ubuntu3
2024-04-23 13:59:20 configure libext2fs2t64:arm64 1.47.0-2.4~exp1ubuntu4 <none>
2024-04-23 13:59:20 status unpacked libext2fs2t64:arm64 1.47.0-2.4~exp1ubuntu4
2024-04-23 13:59:20 status half-configured libext2fs2t64:arm64 1.47.0-2.4~exp1ubuntu4
2024-04-23 13:59:20 status installed libext2fs2t64:arm64 1.47.0-2.4~exp1ubuntu4
2024-04-23 13:59:20 configure debianutils:arm64 5.17build1 <none>
2024-04-23 13:59:20 status unpacked debianutils:arm64 5.17build1
2024-04-23 13:59:20 status half-configured debianutils:arm64 5.17build1
